Log Values
Reading , Values
24/04/2019 11:39:01,36.592°C
24/04/2019 11:59:01,37.839°C
24/04/2019 12:19:01,38.026°C
24/04/2019 12:39:01,38.836°C
24/04/2019 12:59:01,39.771°C
24/04/2019 13:19:01,39.833°C
24/04/2019 13:39:01,37.839°C
24/04/2019 13:59:01,35.657°C
24/04/2019 14:19:01,38.213°C
24/04/2019 14:39:01,36.655°C
24/04/2019 14:59:01,35.657°C
24/04/2019 15:19:01,34.285°C
24/04/2019 15:39:01,35.283°C
24/04/2019 15:59:01,36.405°C
24/04/2019 16:19:01,32.039°C
24/04/2019 16:39:01,31.539°C
24/04/2019 16:59:01,31.664°C
24/04/2019 17:19:01,30.166°C
24/04/2019 17:39:01,28.23°C
24/04/2019 17:59:01,26.793°C
24/04/2019 18:19:01,25.355°C
24/04/2019 18:39:01,24.355°C
24/04/2019 18:59:01,23.918°C
24/04/2019 19:19:01,23.855°C
24/04/2019 19:39:01,23.668°C
24/04/2019 19:59:01,23.73°C
24/04/2019 20:19:01,23.668°C
24/04/2019 20:39:01,23.23°C
24/04/2019 20:59:01,23.417°C
24/04/2019 21:19:01,23.23°C
24/04/2019 21:39:01,23.105°C
24/04/2019 21:59:01,23.167°C
24/04/2019 22:19:01,23.042°C
24/04/2019 22:39:01,22.792°C
24/04/2019 22:59:01,22.604°C
24/04/2019 23:19:01,22.604°C
24/04/2019 23:39:01,22.73°C
24/04/2019 23:59:01,22.542°C
25/04/2019 00:19:01,22.167°C
25/04/2019 00:39:01,21.854°C
25/04/2019 00:59:01,21.666°C
25/04/2019 01:19:01,21.353°C
25/04/2019 01:39:01,21.041°C
25/04/2019 01:59:01,20.79°C
25/04/2019 02:19:01,20.603°C
25/04/2019 02:39:01,20.603°C
25/04/2019 02:59:01,20.728°C
25/04/2019 03:19:01,21.228°C
25/04/2019 03:39:01,21.291°C
25/04/2019 03:59:01,21.541°C
25/04/2019 04:19:01,21.791°C
25/04/2019 04:39:01,22.042°C
25/04/2019 04:59:01,22.167°C
25/04/2019 05:19:01,22.167°C
25/04/2019 05:39:01,22.042°C
25/04/2019 05:59:01,21.979°C
25/04/2019 06:19:01,22.104°C
25/04/2019 06:39:01,22.104°C
25/04/2019 06:59:01,22.104°C
25/04/2019 07:19:01,22.229°C
25/04/2019 07:39:01,22.667°C
25/04/2019 07:59:01,22.98°C
25/04/2019 08:19:01,23.605°C
25/04/2019 08:39:01,24.23°C
25/04/2019 08:59:01,26.105°C
25/04/2019 09:19:01,26.355°C
25/04/2019 09:39:01,26.293°C
25/04/2019 09:59:01,27.605°C
25/04/2019 10:19:01,29.292°C
25/04/2019 10:39:01,32.226°C
25/04/2019 10:59:01,33.349°C
25/04/2019 11:19:01,35.22°C
25/04/2019 11:39:01,36.031°C
25/04/2019 11:59:01,37.216°C
25/04/2019 12:19:01,35.158°C
25/04/2019 12:39:01,37.777°C
25/04/2019 12:59:01,38.525°C
25/04/2019 13:19:01,37.527°C
25/04/2019 13:39:01,35.906°C
25/04/2019 13:59:01,34.098°C
25/04/2019 14:19:01,34.222°C
25/04/2019 14:39:01,33.224°C
25/04/2019 14:59:01,31.789°C
25/04/2019 15:19:01,33.911°C
25/04/2019 15:39:01,34.41°C
25/04/2019 15:59:01,33.848°C
25/04/2019 16:19:01,30.665°C
25/04/2019 16:39:01,29.167°C
25/04/2019 16:59:01,29.479°C
25/04/2019 17:19:01,28.729°C
25/04/2019 17:39:01,27.668°C
25/04/2019 17:59:01,26.293°C
25/04/2019 18:19:01,24.855°C
25/04/2019 18:39:01,23.417°C
25/04/2019 18:59:01,22.604°C
25/04/2019 19:19:01,22.167°C
25/04/2019 19:39:01,21.854°C
25/04/2019 19:59:01,21.541°C
25/04/2019 20:19:01,21.416°C
25/04/2019 20:39:01,21.291°C
25/04/2019 20:59:01,21.041°C
25/04/2019 21:19:01,20.915°C
25/04/2019 21:39:01,21.166°C
25/04/2019 21:59:01,21.166°C
25/04/2019 22:19:01,21.041°C
25/04/2019 22:39:01,20.79°C
25/04/2019 22:59:01,20.415°C
25/04/2019 23:19:01,20.477°C
25/04/2019 23:39:01,20.352°C
25/04/2019 23:59:01,20.039°C
26/04/2019 00:19:01,19.914°C
26/04/2019 00:39:01,19.977°C
26/04/2019 00:59:01,20.039°C
26/04/2019 01:19:01,19.914°C
26/04/2019 01:39:01,19.914°C
26/04/2019 01:59:01,19.789°C
26/04/2019 02:19:01,19.664°C
26/04/2019 02:39:01,19.789°C
26/04/2019 02:59:01,20.039°C
26/04/2019 03:19:01,20.29°C
26/04/2019 03:39:01,20.29°C
26/04/2019 03:59:01,20.227°C
26/04/2019 04:19:01,20.415°C
26/04/2019 04:39:01,20.165°C
26/04/2019 04:59:01,20.415°C
26/04/2019 05:19:01,20.352°C
26/04/2019 05:39:01,20.227°C
26/04/2019 05:59:01,19.977°C
26/04/2019 06:19:01,19.852°C
26/04/2019 06:39:01,20.102°C
26/04/2019 06:59:01,20.29°C
26/04/2019 07:19:01,20.352°C
26/04/2019 07:39:01,20.477°C
26/04/2019 07:59:01,20.978°C
26/04/2019 08:19:01,21.291°C
26/04/2019 08:39:01,22.229°C
26/04/2019 08:59:01,23.605°C
26/04/2019 09:19:01,25.043°C
26/04/2019 09:39:01,27.355°C
26/04/2019 09:59:01,31.102°C
26/04/2019 10:19:01,33.661°C
26/04/2019 10:39:01,34.285°C
26/04/2019 10:59:01,34.971°C
26/04/2019 11:19:01,35.595°C
26/04/2019 11:39:01,36.093°C
26/04/2019 11:59:01,36.655°C
26/04/2019 12:19:01,36.218°C
26/04/2019 12:39:01,36.468°C
26/04/2019 12:59:01,36.343°C
26/04/2019 13:19:01,37.029°C
26/04/2019 13:39:01,35.408°C
26/04/2019 13:59:01,34.098°C
26/04/2019 14:19:01,35.719°C
26/04/2019 14:39:01,34.659°C
26/04/2019 14:59:01,33.287°C
26/04/2019 15:19:01,33.973°C
26/04/2019 15:39:01,33.723°C
26/04/2019 15:59:01,33.661°C
26/04/2019 16:19:01,33.037°C
26/04/2019 16:39:01,29.666°C
26/04/2019 16:59:01,28.917°C
26/04/2019 17:19:01,28.854°C
26/04/2019 17:39:01,27.23°C
26/04/2019 17:59:01,25.73°C
26/04/2019 18:19:01,24.418°C
26/04/2019 18:39:01,23.542°C
26/04/2019 18:59:01,23.042°C
26/04/2019 19:19:01,22.667°C
26/04/2019 19:39:01,22.354°C
26/04/2019 19:59:01,22.042°C
26/04/2019 20:19:01,22.042°C
26/04/2019 20:39:01,21.916°C
26/04/2019 20:59:01,22.042°C
26/04/2019 21:19:01,21.729°C
26/04/2019 21:39:01,21.666°C
26/04/2019 21:59:01,21.541°C
26/04/2019 22:19:01,21.729°C
26/04/2019 22:39:01,21.479°C
26/04/2019 22:59:01,21.416°C
26/04/2019 23:19:01,21.228°C
26/04/2019 23:39:01,21.041°C
26/04/2019 23:59:01,21.041°C
27/04/2019 00:19:01,21.416°C
27/04/2019 00:39:01,21.291°C
27/04/2019 00:59:01,21.041°C
27/04/2019 01:19:01,20.915°C
27/04/2019 01:39:01,21.041°C
27/04/2019 01:59:01,20.665°C
27/04/2019 02:19:01,20.853°C
27/04/2019 02:39:01,21.103°C
27/04/2019 02:59:01,21.291°C
27/04/2019 03:19:01,21.416°C
27/04/2019 03:39:01,21.166°C
27/04/2019 03:59:01,20.728°C
27/04/2019 04:19:01,20.415°C
27/04/2019 04:39:01,20.227°C
27/04/2019 04:59:01,20.352°C
27/04/2019 05:19:01,20.603°C
27/04/2019 05:39:01,20.978°C
27/04/2019 05:59:01,20.978°C
27/04/2019 06:19:01,20.915°C
27/04/2019 06:39:01,20.79°C
27/04/2019 06:59:01,20.853°C
27/04/2019 07:19:01,21.228°C
27/04/2019 07:39:01,22.229°C
27/04/2019 07:59:01,22.98°C
27/04/2019 08:19:01,24.23°C
27/04/2019 08:39:01,24.918°C
27/04/2019 08:59:01,26.855°C
27/04/2019 09:19:01,27.418°C
27/04/2019 09:39:01,28.729°C
27/04/2019 09:59:01,31.851°C
27/04/2019 10:19:01,34.222°C
27/04/2019 10:39:01,35.532°C
27/04/2019 10:59:01,37.216°C
27/04/2019 11:19:01,37.029°C
27/04/2019 11:39:01,37.278°C
27/04/2019 11:59:01,34.16°C
27/04/2019 12:19:01,36.655°C
27/04/2019 12:39:01,36.904°C
27/04/2019 12:59:01,36.966°C
27/04/2019 13:19:01,36.904°C
27/04/2019 13:39:01,35.657°C
27/04/2019 13:59:01,35.158°C
27/04/2019 14:19:01,35.345°C
27/04/2019 14:39:01,34.597°C
27/04/2019 14:59:01,33.661°C
27/04/2019 15:19:01,34.347°C
27/04/2019 15:39:01,33.099°C
27/04/2019 15:59:01,32.725°C
27/04/2019 16:19:01,30.103°C
27/04/2019 16:39:01,28.042°C
27/04/2019 16:59:01,27.792°C
27/04/2019 17:19:01,26.48°C
27/04/2019 17:39:01,26.23°C
27/04/2019 17:59:01,25.23°C
27/04/2019 18:19:01,24.543°C
27/04/2019 18:39:01,23.605°C
27/04/2019 18:59:01,22.917°C
27/04/2019 19:19:01,22.98°C
27/04/2019 19:39:01,23.042°C
27/04/2019 19:59:01,22.792°C
27/04/2019 20:19:01,22.73°C
27/04/2019 20:39:01,22.604°C
27/04/2019 20:59:01,22.542°C
27/04/2019 21:19:01,22.417°C
27/04/2019 21:39:01,22.229°C
27/04/2019 21:59:01,22.104°C
27/04/2019 22:19:01,21.916°C
27/04/2019 22:39:01,21.916°C
27/04/2019 22:59:01,21.791°C
27/04/2019 23:19:01,21.979°C
27/04/2019 23:39:01,22.229°C
27/04/2019 23:59:01,22.417°C
28/04/2019 00:19:01,22.354°C
28/04/2019 00:39:01,22.417°C
28/04/2019 00:59:01,22.354°C
28/04/2019 01:19:01,22.042°C
28/04/2019 01:39:01,21.854°C
28/04/2019 01:59:01,21.666°C
28/04/2019 02:19:01,21.541°C
28/04/2019 02:39:01,21.854°C
28/04/2019 02:59:01,21.916°C
28/04/2019 03:19:01,21.791°C
28/04/2019 03:39:01,21.791°C
28/04/2019 03:59:01,21.729°C
28/04/2019 04:19:01,21.666°C
28/04/2019 04:39:01,21.729°C
28/04/2019 04:59:01,21.479°C
28/04/2019 05:19:01,21.041°C
28/04/2019 05:39:01,21.166°C
28/04/2019 05:59:01,21.041°C
28/04/2019 06:19:01,21.228°C
28/04/2019 06:39:01,21.228°C
28/04/2019 06:59:01,21.353°C
28/04/2019 07:19:01,21.541°C
28/04/2019 07:39:01,21.479°C
28/04/2019 07:59:01,21.854°C
28/04/2019 08:19:01,22.73°C
28/04/2019 08:39:01,23.98°C
28/04/2019 08:59:01,25.668°C
28/04/2019 09:19:01,26.293°C
28/04/2019 09:39:01,26.98°C
28/04/2019 09:59:01,28.667°C
28/04/2019 10:19:01,27.855°C
28/04/2019 10:39:01,29.354°C
28/04/2019 10:59:01,27.168°C
28/04/2019 11:19:01,26.73°C
28/04/2019 11:39:01,26.605°C
28/04/2019 11:59:01,26.918°C
28/04/2019 12:19:01,27.605°C
28/04/2019 12:39:01,29.229°C
28/04/2019 12:59:01,31.602°C
28/04/2019 13:19:01,28.167°C
28/04/2019 13:39:01,27.418°C
28/04/2019 13:59:01,26.855°C
28/04/2019 14:19:01,27.855°C
28/04/2019 14:39:01,24.918°C
28/04/2019 14:59:01,24.355°C
28/04/2019 15:19:01,22.98°C
28/04/2019 15:39:01,22.855°C
28/04/2019 15:59:01,21.604°C
28/04/2019 16:19:01,21.541°C
28/04/2019 16:39:01,21.854°C
28/04/2019 16:59:01,21.916°C
28/04/2019 17:19:01,21.541°C
28/04/2019 17:39:01,21.541°C
28/04/2019 17:59:01,21.416°C
28/04/2019 18:19:01,21.103°C
28/04/2019 18:39:01,20.915°C
28/04/2019 18:59:01,20.978°C
28/04/2019 19:19:01,20.915°C
28/04/2019 19:39:01,21.041°C
28/04/2019 19:59:01,20.978°C
28/04/2019 20:19:01,20.79°C
28/04/2019 20:39:01,20.79°C
28/04/2019 20:59:01,20.853°C
28/04/2019 21:19:01,20.915°C
28/04/2019 21:39:01,20.227°C
28/04/2019 21:59:01,20.102°C
28/04/2019 22:19:01,20.039°C
28/04/2019 22:39:01,20.227°C
28/04/2019 22:59:01,20.477°C
28/04/2019 23:19:01,20.665°C
28/04/2019 23:39:01,20.477°C
28/04/2019 23:59:01,20.728°C
29/04/2019 00:19:01,20.54°C
29/04/2019 00:39:01,20.477°C
29/04/2019 00:59:01,20.54°C
29/04/2019 01:19:01,20.728°C
29/04/2019 01:39:01,20.665°C
29/04/2019 01:59:01,20.665°C
29/04/2019 02:19:01,20.477°C
29/04/2019 02:39:01,20.352°C
29/04/2019 02:59:01,19.789°C
29/04/2019 03:19:01,20.165°C
29/04/2019 03:39:01,20.102°C
29/04/2019 03:59:01,19.789°C
29/04/2019 04:19:01,20.102°C
29/04/2019 04:39:01,19.977°C
29/04/2019 04:59:01,19.852°C
29/04/2019 05:19:01,19.727°C
29/04/2019 05:39:01,19.601°C
29/04/2019 05:59:01,19.476°C
29/04/2019 06:19:01,19.226°C
29/04/2019 06:39:01,19.163°C
29/04/2019 06:59:01,19.288°C
29/04/2019 07:19:01,19.539°C
29/04/2019 07:39:01,19.852°C
29/04/2019 07:59:01,20.29°C
29/04/2019 08:19:01,20.853°C
29/04/2019 08:39:01,21.604°C
29/04/2019 08:59:01,22.354°C
29/04/2019 09:19:01,23.73°C
29/04/2019 09:39:01,24.855°C
29/04/2019 09:59:01,25.98°C
29/04/2019 10:19:01,26.418°C
29/04/2019 10:39:01,28.605°C
29/04/2019 10:59:01,29.416°C
29/04/2019 11:19:01,31.414°C
29/04/2019 11:39:01,29.854°C
29/04/2019 11:59:01,31.165°C
29/04/2019 12:19:01,27.168°C
29/04/2019 12:39:01,27.105°C
29/04/2019 12:59:01,28.854°C
29/04/2019 13:19:01,29.791°C
29/04/2019 13:39:01,27.917°C
29/04/2019 13:59:01,27.543°C
29/04/2019 14:19:01,29.541°C
29/04/2019 14:39:01,30.103°C
29/04/2019 14:59:01,27.855°C
29/04/2019 15:19:01,26.48°C
29/04/2019 15:39:01,24.855°C
29/04/2019 15:59:01,25.605°C
29/04/2019 16:19:01,25.918°C
29/04/2019 16:39:01,25.168°C
29/04/2019 16:59:01,24.23°C
29/04/2019 17:19:01,22.354°C
29/04/2019 17:39:01,21.729°C
29/04/2019 17:59:01,21.228°C
29/04/2019 18:19:01,20.79°C
29/04/2019 18:39:01,20.665°C
29/04/2019 18:59:01,20.415°C
29/04/2019 19:19:01,20.54°C
29/04/2019 19:39:01,20.227°C
29/04/2019 19:59:01,20.352°C
29/04/2019 20:19:01,20.603°C
29/04/2019 20:39:01,20.665°C
29/04/2019 20:59:01,20.54°C
29/04/2019 21:19:01,20.352°C
29/04/2019 21:39:01,20.227°C
29/04/2019 21:59:01,20.227°C
29/04/2019 22:19:01,20.29°C
29/04/2019 22:39:01,20.352°C
29/04/2019 22:59:01,20.29°C
29/04/2019 23:19:01,20.165°C
29/04/2019 23:39:01,20.29°C
29/04/2019 23:59:01,20.603°C
30/04/2019 00:19:01,20.102°C
30/04/2019 00:39:01,19.852°C
30/04/2019 00:59:01,19.914°C
30/04/2019 01:19:01,19.852°C
30/04/2019 01:39:01,19.914°C
30/04/2019 01:59:01,19.914°C
30/04/2019 02:19:01,20.039°C
30/04/2019 02:39:01,20.352°C
30/04/2019 02:59:01,20.603°C
30/04/2019 03:19:01,20.54°C
30/04/2019 03:39:01,20.665°C
30/04/2019 03:59:01,20.728°C
30/04/2019 04:19:01,20.665°C
30/04/2019 04:39:01,20.603°C
30/04/2019 04:59:01,20.477°C
30/04/2019 05:19:01,20.603°C
30/04/2019 05:39:01,20.853°C
30/04/2019 05:59:01,20.915°C
30/04/2019 06:19:01,20.915°C
30/04/2019 06:39:01,20.978°C
30/04/2019 06:59:01,20.728°C
30/04/2019 07:19:01,20.165°C
30/04/2019 07:39:01,20.415°C
30/04/2019 07:59:01,20.603°C
30/04/2019 08:19:01,21.166°C
30/04/2019 08:39:01,21.228°C
30/04/2019 08:59:01,21.416°C
30/04/2019 09:19:01,22.229°C
30/04/2019 09:39:01,24.48°C
30/04/2019 09:59:01,27.73°C
30/04/2019 10:19:01,28.792°C
30/04/2019 10:39:01,29.416°C
30/04/2019 10:59:01,32.413°C
30/04/2019 11:19:01,33.848°C
30/04/2019 11:39:01,33.349°C
30/04/2019 11:59:01,32.538°C
30/04/2019 12:19:01,30.228°C
30/04/2019 12:39:01,32.663°C
30/04/2019 12:59:01,32.538°C
30/04/2019 13:19:01,30.353°C
30/04/2019 13:39:01,31.664°C
30/04/2019 13:59:01,31.414°C
30/04/2019 14:19:01,31.602°C
30/04/2019 14:39:01,28.792°C
30/04/2019 14:59:01,26.918°C
30/04/2019 15:19:01,29.292°C
30/04/2019 15:39:01,28.167°C
30/04/2019 15:59:01,27.668°C
30/04/2019 16:19:01,27.168°C
30/04/2019 16:39:01,25.105°C
30/04/2019 16:59:01,23.918°C
30/04/2019 17:19:01,23.668°C
30/04/2019 17:39:01,22.855°C
30/04/2019 17:59:01,22.167°C
30/04/2019 18:19:01,22.042°C
30/04/2019 18:39:01,21.666°C
30/04/2019 18:59:01,21.228°C
30/04/2019 19:19:01,20.603°C
30/04/2019 19:39:01,20.29°C
30/04/2019 19:59:01,20.29°C
30/04/2019 20:19:01,20.665°C
30/04/2019 20:39:01,20.603°C
30/04/2019 20:59:01,20.978°C
30/04/2019 21:19:01,21.291°C
30/04/2019 21:39:01,20.477°C
30/04/2019 21:59:01,19.914°C
30/04/2019 22:19:01,20.415°C
30/04/2019 22:39:01,20.665°C
30/04/2019 22:59:01,20.29°C
30/04/2019 23:19:01,20.415°C
30/04/2019 23:39:01,20.227°C
30/04/2019 23:59:01,20.102°C
01/05/2019 00:19:01,20.039°C
01/05/2019 00:39:01,19.977°C
01/05/2019 00:59:01,20.039°C
01/05/2019 01:19:01,20.039°C
01/05/2019 01:39:01,20.165°C
01/05/2019 01:59:01,20.102°C
01/05/2019 02:19:01,20.102°C
01/05/2019 02:39:01,20.227°C
01/05/2019 02:59:01,20.29°C
01/05/2019 03:19:01,20.415°C
01/05/2019 03:39:01,20.477°C
01/05/2019 03:59:01,20.415°C
01/05/2019 04:19:01,20.415°C
01/05/2019 04:39:01,20.477°C
01/05/2019 04:59:01,20.603°C
01/05/2019 05:19:01,20.54°C
01/05/2019 05:39:01,20.54°C
01/05/2019 05:59:01,20.352°C
01/05/2019 06:19:01,20.29°C
01/05/2019 06:39:01,20.165°C
01/05/2019 06:59:01,20.227°C
01/05/2019 07:19:01,20.415°C
01/05/2019 07:39:01,20.728°C
01/05/2019 07:59:01,21.103°C
01/05/2019 08:19:01,21.979°C
01/05/2019 08:39:01,23.292°C
01/05/2019 08:59:01,24.73°C
01/05/2019 09:19:01,25.793°C
01/05/2019 09:39:01,27.543°C
01/05/2019 09:59:01,30.728°C
01/05/2019 10:19:01,30.915°C
01/05/2019 10:39:01,31.976°C
01/05/2019 10:59:01,32.912°C
01/05/2019 11:19:01,33.848°C
01/05/2019 11:39:01,35.532°C
01/05/2019 11:59:01,35.283°C
01/05/2019 12:19:01,36.281°C
01/05/2019 12:39:01,35.844°C
01/05/2019 12:59:01,34.784°C
01/05/2019 13:19:01,33.224°C
01/05/2019 13:39:01,31.29°C
01/05/2019 13:59:01,31.227°C
01/05/2019 14:19:01,32.6°C
01/05/2019 14:39:01,31.851°C
01/05/2019 14:59:01,30.853°C
01/05/2019 15:19:01,30.228°C
01/05/2019 15:39:01,27.98°C
01/05/2019 15:59:01,28.105°C
01/05/2019 16:19:01,26.48°C
01/05/2019 16:39:01,25.168°C
01/05/2019 16:59:01,24.168°C
01/05/2019 17:19:01,22.792°C
01/05/2019 17:39:01,22.167°C
01/05/2019 17:59:01,21.979°C
01/05/2019 18:19:01,22.104°C
01/05/2019 18:39:01,21.541°C
01/05/2019 18:59:01,21.353°C
01/05/2019 19:19:01,21.541°C
01/05/2019 19:39:01,21.666°C
01/05/2019 19:59:01,21.791°C
01/05/2019 20:19:01,21.916°C
01/05/2019 20:39:01,22.167°C
01/05/2019 20:59:01,22.042°C
01/05/2019 21:19:01,21.916°C
01/05/2019 21:39:01,21.541°C
01/05/2019 21:59:01,21.353°C
01/05/2019 22:19:01,21.353°C
01/05/2019 22:39:01,21.353°C
01/05/2019 22:59:01,21.166°C
01/05/2019 23:19:01,20.978°C
01/05/2019 23:39:01,21.041°C
01/05/2019 23:59:01,21.041°C
02/05/2019 00:19:01,20.79°C
02/05/2019 00:39:01,20.915°C
02/05/2019 00:59:01,20.853°C
02/05/2019 01:19:01,20.915°C
02/05/2019 01:39:01,20.915°C
02/05/2019 01:59:01,20.915°C
02/05/2019 02:19:01,20.978°C
02/05/2019 02:39:01,20.915°C
02/05/2019 02:59:01,21.041°C
02/05/2019 03:19:01,21.041°C
02/05/2019 03:39:01,20.978°C
02/05/2019 03:59:01,21.041°C
02/05/2019 04:19:01,20.915°C
02/05/2019 04:39:01,20.665°C
02/05/2019 04:59:01,20.54°C
02/05/2019 05:19:01,20.477°C
02/05/2019 05:39:01,20.227°C
02/05/2019 05:59:01,20.039°C
02/05/2019 06:19:01,20.102°C
02/05/2019 06:39:01,20.039°C
02/05/2019 06:59:01,20.165°C
02/05/2019 07:19:01,20.477°C
02/05/2019 07:39:01,21.041°C
02/05/2019 07:59:01,21.353°C
02/05/2019 08:19:01,21.541°C
02/05/2019 08:39:01,22.604°C
02/05/2019 08:59:01,23.417°C
02/05/2019 09:19:01,23.48°C
02/05/2019 09:39:01,23.918°C
02/05/2019 09:59:01,27.605°C
02/05/2019 10:19:01,30.665°C
02/05/2019 10:39:01,32.163°C
02/05/2019 10:59:01,32.101°C
02/05/2019 11:19:01,32.912°C
02/05/2019 11:39:01,33.786°C
02/05/2019 11:59:01,34.098°C
02/05/2019 12:19:01,34.347°C
02/05/2019 12:39:01,34.285°C
02/05/2019 12:59:01,35.22°C
02/05/2019 13:19:01,35.408°C
02/05/2019 13:39:01,34.659°C
02/05/2019 13:59:01,33.224°C
02/05/2019 14:19:01,34.534°C
02/05/2019 14:39:01,34.347°C
02/05/2019 14:59:01,33.349°C
02/05/2019 15:19:01,34.41°C
02/05/2019 15:39:01,34.347°C
02/05/2019 15:59:01,30.228°C
02/05/2019 16:19:01,27.98°C
02/05/2019 16:39:01,27.855°C
02/05/2019 16:59:01,26.23°C
02/05/2019 17:19:01,25.73°C
02/05/2019 17:39:01,24.793°C
02/05/2019 17:59:01,24.293°C
02/05/2019 18:19:01,22.917°C
02/05/2019 18:39:01,21.166°C
02/05/2019 18:59:01,20.665°C
02/05/2019 19:19:01,19.914°C
02/05/2019 19:39:01,19.727°C
02/05/2019 19:59:01,19.852°C
02/05/2019 20:19:01,19.601°C
02/05/2019 20:39:01,19.852°C
02/05/2019 20:59:01,20.227°C
02/05/2019 21:19:01,20.415°C
02/05/2019 21:39:01,20.29°C
02/05/2019 21:59:01,20.102°C
02/05/2019 22:19:01,20.352°C
02/05/2019 22:39:01,20.665°C
02/05/2019 22:59:01,20.477°C
02/05/2019 23:19:01,19.977°C
02/05/2019 23:39:01,20.54°C
02/05/2019 23:59:01,21.228°C
03/05/2019 00:19:01,21.353°C
03/05/2019 00:39:01,21.228°C
03/05/2019 00:59:01,20.978°C
03/05/2019 01:19:01,20.853°C
03/05/2019 01:39:01,20.728°C
03/05/2019 01:59:01,20.54°C
03/05/2019 02:19:01,20.477°C
03/05/2019 02:39:01,20.603°C
03/05/2019 02:59:01,20.603°C
03/05/2019 03:19:01,20.79°C
03/05/2019 03:39:01,20.79°C
03/05/2019 03:59:01,20.915°C
03/05/2019 04:19:01,20.978°C
03/05/2019 04:39:01,20.79°C
03/05/2019 04:59:01,20.415°C
03/05/2019 05:19:01,20.29°C
03/05/2019 05:39:01,20.54°C
03/05/2019 05:59:01,20.603°C
03/05/2019 06:19:01,20.665°C
03/05/2019 06:39:01,20.665°C
03/05/2019 06:59:01,20.665°C
03/05/2019 07:19:01,20.728°C
03/05/2019 07:39:01,20.978°C
03/05/2019 07:59:01,21.353°C
03/05/2019 08:19:01,21.729°C
03/05/2019 08:39:01,22.229°C
03/05/2019 08:59:01,22.042°C
03/05/2019 09:19:01,22.917°C
03/05/2019 09:39:01,23.48°C
03/05/2019 09:59:01,23.73°C
03/05/2019 10:19:01,23.855°C
03/05/2019 10:39:01,24.168°C
03/05/2019 10:59:01,23.292°C
03/05/2019 11:19:01,23.48°C
03/05/2019 11:39:01,23.73°C
03/05/2019 11:59:01,23.042°C
03/05/2019 12:19:01,23.167°C
03/05/2019 12:39:01,24.48°C
03/05/2019 12:59:01,24.605°C
03/05/2019 13:19:01,24.168°C
03/05/2019 13:39:01,26.668°C
03/05/2019 13:59:01,27.043°C
03/05/2019 14:19:01,24.793°C
03/05/2019 14:39:01,24.23°C
03/05/2019 14:59:01,24.605°C
03/05/2019 15:19:01,24.168°C
03/05/2019 15:39:01,25.23°C
03/05/2019 15:59:01,24.855°C
03/05/2019 16:19:01,24.918°C
03/05/2019 16:39:01,24.293°C
03/05/2019 16:59:01,24.168°C
03/05/2019 17:19:01,23.105°C
03/05/2019 17:39:01,22.604°C
03/05/2019 17:59:01,22.417°C
03/05/2019 18:19:01,22.229°C
03/05/2019 18:39:01,22.042°C
03/05/2019 18:59:01,21.854°C
03/05/2019 19:19:01,21.791°C
03/05/2019 19:39:01,21.791°C
03/05/2019 19:59:01,21.729°C
03/05/2019 20:19:01,21.666°C
03/05/2019 20:39:01,21.604°C
03/05/2019 20:59:01,21.541°C
03/05/2019 21:19:01,21.416°C
03/05/2019 21:39:01,21.416°C
03/05/2019 21:59:01,21.541°C
03/05/2019 22:19:01,21.479°C
03/05/2019 22:39:01,21.479°C
03/05/2019 22:59:01,21.291°C
03/05/2019 23:19:01,20.978°C
03/05/2019 23:39:01,20.54°C
03/05/2019 23:59:01,20.54°C
04/05/2019 00:19:01,20.415°C
04/05/2019 00:39:01,20.477°C
04/05/2019 00:59:01,20.415°C
04/05/2019 01:19:01,20.29°C
04/05/2019 01:39:01,20.352°C
04/05/2019 01:59:01,20.039°C
04/05/2019 02:19:01,20.039°C
04/05/2019 02:39:01,19.914°C
04/05/2019 02:59:01,19.789°C
04/05/2019 03:19:01,19.727°C
04/05/2019 03:39:01,19.789°C
04/05/2019 03:59:01,19.852°C
04/05/2019 04:19:01,20.039°C
04/05/2019 04:39:01,19.977°C
04/05/2019 04:59:01,19.727°C
04/05/2019 05:19:01,19.476°C
04/05/2019 05:39:01,19.414°C
04/05/2019 05:59:01,19.414°C
04/05/2019 06:19:01,19.664°C
04/05/2019 06:39:01,19.539°C
04/05/2019 06:59:01,19.414°C
04/05/2019 07:19:01,19.664°C
04/05/2019 07:39:01,19.977°C
04/05/2019 07:59:01,21.103°C
04/05/2019 08:19:01,21.666°C
04/05/2019 08:39:01,22.917°C
04/05/2019 08:59:01,24.668°C
04/05/2019 09:19:01,26.668°C
04/05/2019 09:39:01,27.73°C
04/05/2019 09:59:01,27.48°C
04/05/2019 10:19:01,25.855°C
04/05/2019 10:39:01,24.668°C
04/05/2019 10:59:01,28.979°C
04/05/2019 11:19:01,32.538°C
04/05/2019 11:39:01,34.41°C
04/05/2019 11:59:01,35.22°C
04/05/2019 12:19:01,36.093°C
04/05/2019 12:39:01,36.468°C
04/05/2019 12:59:01,35.408°C
04/05/2019 13:19:01,31.414°C
04/05/2019 13:39:01,28.792°C
04/05/2019 13:59:01,28.48°C
04/05/2019 14:19:01,29.104°C
04/05/2019 14:39:01,29.229°C
04/05/2019 14:59:01,29.292°C
04/05/2019 15:19:01,33.099°C
04/05/2019 15:39:01,30.915°C
04/05/2019 15:59:01,27.668°C
04/05/2019 16:19:01,26.793°C
04/05/2019 16:39:01,26.918°C
