Log Values
Reading , Values
24/04/2019 14:19:01,39.245°C
24/04/2019 14:39:01,38.683°C
24/04/2019 14:59:01,38.996°C
24/04/2019 15:19:01,35.312°C
24/04/2019 15:39:01,34.813°C
24/04/2019 15:59:01,35°C
24/04/2019 16:19:01,31.502°C
24/04/2019 16:39:01,30.315°C
24/04/2019 16:59:01,29.503°C
24/04/2019 17:19:01,29.378°C
24/04/2019 17:39:01,28.379°C
24/04/2019 17:59:01,27.129°C
24/04/2019 18:19:01,25.379°C
24/04/2019 18:39:01,24.316°C
24/04/2019 18:59:01,23.879°C
24/04/2019 19:19:01,23.816°C
24/04/2019 19:39:01,23.629°C
24/04/2019 19:59:01,23.754°C
24/04/2019 20:19:01,23.566°C
24/04/2019 20:39:01,23.254°C
24/04/2019 20:59:01,23.316°C
24/04/2019 21:19:01,23.129°C
24/04/2019 21:39:01,23.066°C
24/04/2019 21:59:01,23.129°C
24/04/2019 22:19:01,23.003°C
24/04/2019 22:39:01,22.816°C
24/04/2019 22:59:01,22.691°C
24/04/2019 23:19:01,22.691°C
24/04/2019 23:39:01,22.753°C
24/04/2019 23:59:01,22.566°C
25/04/2019 00:19:01,22.128°C
25/04/2019 00:39:01,21.816°C
25/04/2019 00:59:01,21.565°C
25/04/2019 01:19:01,21.315°C
25/04/2019 01:39:01,21.003°C
25/04/2019 01:59:01,20.815°C
25/04/2019 02:19:01,20.565°C
25/04/2019 02:39:01,20.565°C
25/04/2019 02:59:01,20.69°C
25/04/2019 03:19:01,21.253°C
25/04/2019 03:39:01,21.315°C
25/04/2019 03:59:01,21.565°C
25/04/2019 04:19:01,21.941°C
25/04/2019 04:39:01,22.191°C
25/04/2019 04:59:01,22.191°C
25/04/2019 05:19:01,22.191°C
25/04/2019 05:39:01,22.066°C
25/04/2019 05:59:01,21.941°C
25/04/2019 06:19:01,22.128°C
25/04/2019 06:39:01,22.128°C
25/04/2019 06:59:01,22.128°C
25/04/2019 07:19:01,22.253°C
25/04/2019 07:39:01,22.691°C
25/04/2019 07:59:01,23.316°C
25/04/2019 08:19:01,23.879°C
25/04/2019 08:39:01,25.129°C
25/04/2019 08:59:01,28.129°C
25/04/2019 09:19:01,27.629°C
25/04/2019 09:39:01,26.941°C
25/04/2019 09:59:01,27.129°C
25/04/2019 10:19:01,27.691°C
25/04/2019 10:39:01,28.504°C
25/04/2019 10:59:01,29.503°C
25/04/2019 11:19:01,30.69°C
25/04/2019 11:39:01,30.94°C
25/04/2019 11:59:01,31.19°C
25/04/2019 12:19:01,30.378°C
25/04/2019 12:39:01,31.19°C
25/04/2019 12:59:01,32.502°C
25/04/2019 13:19:01,33.938°C
25/04/2019 13:39:01,35.812°C
25/04/2019 13:59:01,35.25°C
25/04/2019 14:19:01,35.312°C
25/04/2019 14:39:01,33.751°C
25/04/2019 14:59:01,33.251°C
25/04/2019 15:19:01,34.688°C
25/04/2019 15:39:01,34.313°C
25/04/2019 15:59:01,32.689°C
25/04/2019 16:19:01,29.503°C
25/04/2019 16:39:01,27.879°C
25/04/2019 16:59:01,27.566°C
25/04/2019 17:19:01,27.941°C
25/04/2019 17:39:01,27.754°C
25/04/2019 17:59:01,26.879°C
25/04/2019 18:19:01,25.129°C
25/04/2019 18:39:01,23.379°C
25/04/2019 18:59:01,22.503°C
25/04/2019 19:19:01,22.003°C
25/04/2019 19:39:01,21.628°C
25/04/2019 19:59:01,21.253°C
25/04/2019 20:19:01,21.128°C
25/04/2019 20:39:01,21.003°C
25/04/2019 20:59:01,20.753°C
25/04/2019 21:19:01,20.628°C
25/04/2019 21:39:01,20.815°C
25/04/2019 21:59:01,20.94°C
25/04/2019 22:19:01,20.815°C
25/04/2019 22:39:01,20.565°C
25/04/2019 22:59:01,20.315°C
25/04/2019 23:19:01,20.315°C
25/04/2019 23:39:01,20.315°C
25/04/2019 23:59:01,20.002°C
26/04/2019 00:19:01,19.94°C
26/04/2019 00:39:01,19.94°C
26/04/2019 00:59:01,20.002°C
26/04/2019 01:19:01,19.94°C
26/04/2019 01:39:01,19.94°C
26/04/2019 01:59:01,19.877°C
26/04/2019 02:19:01,19.752°C
26/04/2019 02:39:01,19.877°C
26/04/2019 02:59:01,20.127°C
26/04/2019 03:19:01,20.377°C
26/04/2019 03:39:01,20.315°C
26/04/2019 03:59:01,20.315°C
26/04/2019 04:19:01,20.44°C
26/04/2019 04:39:01,20.19°C
26/04/2019 04:59:01,20.315°C
26/04/2019 05:19:01,20.377°C
26/04/2019 05:39:01,20.19°C
26/04/2019 05:59:01,20.002°C
26/04/2019 06:19:01,19.815°C
26/04/2019 06:39:01,20.127°C
26/04/2019 06:59:01,20.315°C
26/04/2019 07:19:01,20.44°C
26/04/2019 07:39:01,20.628°C
26/04/2019 07:59:01,21.065°C
26/04/2019 08:19:01,21.315°C
26/04/2019 08:39:01,23.316°C
26/04/2019 08:59:01,25.754°C
26/04/2019 09:19:01,29.253°C
26/04/2019 09:39:01,31.128°C
26/04/2019 09:59:01,29.191°C
26/04/2019 10:19:01,30.003°C
26/04/2019 10:39:01,30.253°C
26/04/2019 10:59:01,31.253°C
26/04/2019 11:19:01,31.377°C
26/04/2019 11:39:01,31.003°C
26/04/2019 11:59:01,30.628°C
26/04/2019 12:19:01,29.816°C
26/04/2019 12:39:01,29.628°C
26/04/2019 12:59:01,30.565°C
26/04/2019 13:19:01,32.877°C
26/04/2019 13:39:01,35.25°C
26/04/2019 13:59:01,36.061°C
26/04/2019 14:19:01,37.31°C
26/04/2019 14:39:01,36.249°C
26/04/2019 14:59:01,35.874°C
26/04/2019 15:19:01,34.563°C
26/04/2019 15:39:01,33.376°C
26/04/2019 15:59:01,32.877°C
26/04/2019 16:19:01,31.003°C
26/04/2019 16:39:01,28.566°C
26/04/2019 16:59:01,28.191°C
26/04/2019 17:19:01,28.504°C
26/04/2019 17:39:01,27.316°C
26/04/2019 17:59:01,26.066°C
26/04/2019 18:19:01,24.504°C
26/04/2019 18:39:01,23.504°C
26/04/2019 18:59:01,23.003°C
26/04/2019 19:19:01,22.503°C
26/04/2019 19:39:01,22.191°C
26/04/2019 19:59:01,21.941°C
26/04/2019 20:19:01,21.878°C
26/04/2019 20:39:01,21.816°C
26/04/2019 20:59:01,21.816°C
26/04/2019 21:19:01,21.44°C
26/04/2019 21:39:01,21.378°C
26/04/2019 21:59:01,21.128°C
26/04/2019 22:19:01,21.378°C
26/04/2019 22:39:01,21.128°C
26/04/2019 22:59:01,21.065°C
26/04/2019 23:19:01,20.878°C
26/04/2019 23:39:01,20.753°C
26/04/2019 23:59:01,20.815°C
27/04/2019 00:19:01,21.19°C
27/04/2019 00:39:01,21.19°C
27/04/2019 00:59:01,21.003°C
27/04/2019 01:19:01,20.815°C
27/04/2019 01:39:01,20.94°C
27/04/2019 01:59:01,20.69°C
27/04/2019 02:19:01,20.878°C
27/04/2019 02:39:01,21.128°C
27/04/2019 02:59:01,21.378°C
27/04/2019 03:19:01,21.44°C
27/04/2019 03:39:01,21.253°C
27/04/2019 03:59:01,20.753°C
27/04/2019 04:19:01,20.44°C
27/04/2019 04:39:01,20.252°C
27/04/2019 04:59:01,20.315°C
27/04/2019 05:19:01,20.69°C
27/04/2019 05:39:01,21.128°C
27/04/2019 05:59:01,21.19°C
27/04/2019 06:19:01,21.003°C
27/04/2019 06:39:01,20.878°C
27/04/2019 06:59:01,20.94°C
27/04/2019 07:19:01,21.378°C
27/04/2019 07:39:01,22.316°C
27/04/2019 07:59:01,23.191°C
27/04/2019 08:19:01,24.129°C
27/04/2019 08:39:01,27.129°C
27/04/2019 08:59:01,30.128°C
27/04/2019 09:19:01,32.439°C
27/04/2019 09:39:01,32.752°C
27/04/2019 09:59:01,30.815°C
27/04/2019 10:19:01,31.815°C
27/04/2019 10:39:01,31.627°C
27/04/2019 10:59:01,32.627°C
27/04/2019 11:19:01,32.252°C
27/04/2019 11:39:01,31.877°C
27/04/2019 11:59:01,30.815°C
27/04/2019 12:19:01,30.753°C
27/04/2019 12:39:01,30.503°C
27/04/2019 12:59:01,31.315°C
27/04/2019 13:19:01,33.314°C
27/04/2019 13:39:01,37.185°C
27/04/2019 13:59:01,38.434°C
27/04/2019 14:19:01,38.184°C
27/04/2019 14:39:01,38.309°C
27/04/2019 14:59:01,37.248°C
27/04/2019 15:19:01,36.061°C
27/04/2019 15:39:01,33.813°C
27/04/2019 15:59:01,32.502°C
27/04/2019 16:19:01,29.691°C
27/04/2019 16:39:01,27.629°C
27/04/2019 16:59:01,27.254°C
27/04/2019 17:19:01,26.566°C
27/04/2019 17:39:01,26.254°C
27/04/2019 17:59:01,25.254°C
27/04/2019 18:19:01,24.504°C
27/04/2019 18:39:01,23.629°C
27/04/2019 18:59:01,23.066°C
27/04/2019 19:19:01,23.129°C
27/04/2019 19:39:01,23.003°C
27/04/2019 19:59:01,22.816°C
27/04/2019 20:19:01,22.691°C
27/04/2019 20:39:01,22.441°C
27/04/2019 20:59:01,22.378°C
27/04/2019 21:19:01,22.253°C
27/04/2019 21:39:01,22.066°C
27/04/2019 21:59:01,21.941°C
27/04/2019 22:19:01,21.691°C
27/04/2019 22:39:01,21.691°C
27/04/2019 22:59:01,21.753°C
27/04/2019 23:19:01,21.941°C
27/04/2019 23:39:01,22.191°C
27/04/2019 23:59:01,22.316°C
28/04/2019 00:19:01,22.253°C
28/04/2019 00:39:01,22.316°C
28/04/2019 00:59:01,22.316°C
28/04/2019 01:19:01,21.941°C
28/04/2019 01:39:01,21.691°C
28/04/2019 01:59:01,21.44°C
28/04/2019 02:19:01,21.378°C
28/04/2019 02:39:01,21.503°C
28/04/2019 02:59:01,21.628°C
28/04/2019 03:19:01,21.628°C
28/04/2019 03:39:01,21.628°C
28/04/2019 03:59:01,21.503°C
28/04/2019 04:19:01,21.378°C
28/04/2019 04:39:01,21.503°C
28/04/2019 04:59:01,21.253°C
28/04/2019 05:19:01,20.878°C
28/04/2019 05:39:01,20.815°C
28/04/2019 05:59:01,20.753°C
28/04/2019 06:19:01,20.815°C
28/04/2019 06:39:01,20.878°C
28/04/2019 06:59:01,21.003°C
28/04/2019 07:19:01,21.378°C
28/04/2019 07:39:01,21.253°C
28/04/2019 07:59:01,21.565°C
28/04/2019 08:19:01,22.628°C
28/04/2019 08:39:01,25.191°C
28/04/2019 08:59:01,28.066°C
28/04/2019 09:19:01,29.816°C
28/04/2019 09:39:01,29.191°C
28/04/2019 09:59:01,27.754°C
28/04/2019 10:19:01,27.004°C
28/04/2019 10:39:01,27.316°C
28/04/2019 10:59:01,26.066°C
28/04/2019 11:19:01,26.254°C
28/04/2019 11:39:01,25.629°C
28/04/2019 11:59:01,25.754°C
28/04/2019 12:19:01,25.441°C
28/04/2019 12:39:01,25.691°C
28/04/2019 12:59:01,27.691°C
28/04/2019 13:19:01,27.441°C
28/04/2019 13:39:01,29.753°C
28/04/2019 13:59:01,29.253°C
28/04/2019 14:19:01,30.191°C
28/04/2019 14:39:01,26.254°C
28/04/2019 14:59:01,25.816°C
28/04/2019 15:19:01,23.816°C
28/04/2019 15:39:01,23.191°C
28/04/2019 15:59:01,21.753°C
28/04/2019 16:19:01,21.816°C
28/04/2019 16:39:01,22.128°C
28/04/2019 16:59:01,22.191°C
28/04/2019 17:19:01,21.878°C
28/04/2019 17:39:01,21.753°C
28/04/2019 17:59:01,21.565°C
28/04/2019 18:19:01,21.128°C
28/04/2019 18:39:01,20.94°C
28/04/2019 18:59:01,20.94°C
28/04/2019 19:19:01,20.878°C
28/04/2019 19:39:01,20.94°C
28/04/2019 19:59:01,20.815°C
28/04/2019 20:19:01,20.69°C
28/04/2019 20:39:01,20.753°C
28/04/2019 20:59:01,20.815°C
28/04/2019 21:19:01,20.753°C
28/04/2019 21:39:01,20.252°C
28/04/2019 21:59:01,20.127°C
28/04/2019 22:19:01,20.19°C
28/04/2019 22:39:01,20.252°C
28/04/2019 22:59:01,20.628°C
28/04/2019 23:19:01,20.753°C
28/04/2019 23:39:01,20.815°C
28/04/2019 23:59:01,20.94°C
29/04/2019 00:19:01,20.753°C
29/04/2019 00:39:01,20.628°C
29/04/2019 00:59:01,20.815°C
29/04/2019 01:19:01,21.003°C
29/04/2019 01:39:01,20.94°C
29/04/2019 01:59:01,20.878°C
29/04/2019 02:19:01,20.628°C
29/04/2019 02:39:01,20.44°C
29/04/2019 02:59:01,19.877°C
29/04/2019 03:19:01,20.377°C
29/04/2019 03:39:01,20.252°C
29/04/2019 03:59:01,20.002°C
29/04/2019 04:19:01,20.315°C
29/04/2019 04:39:01,20.127°C
29/04/2019 04:59:01,20.002°C
29/04/2019 05:19:01,19.815°C
29/04/2019 05:39:01,19.752°C
29/04/2019 05:59:01,19.752°C
29/04/2019 06:19:01,19.314°C
29/04/2019 06:39:01,19.189°C
29/04/2019 06:59:01,19.377°C
29/04/2019 07:19:01,19.627°C
29/04/2019 07:39:01,19.877°C
29/04/2019 07:59:01,20.377°C
29/04/2019 08:19:01,20.815°C
29/04/2019 08:39:01,21.941°C
29/04/2019 08:59:01,22.878°C
29/04/2019 09:19:01,25.129°C
29/04/2019 09:39:01,26.504°C
29/04/2019 09:59:01,26.129°C
29/04/2019 10:19:01,26.066°C
29/04/2019 10:39:01,27.004°C
29/04/2019 10:59:01,28.129°C
29/04/2019 11:19:01,29.191°C
29/04/2019 11:39:01,28.129°C
29/04/2019 11:59:01,28.191°C
29/04/2019 12:19:01,26.129°C
29/04/2019 12:39:01,26.504°C
29/04/2019 12:59:01,28.254°C
29/04/2019 13:19:01,29.253°C
29/04/2019 13:39:01,28.129°C
29/04/2019 13:59:01,28.629°C
29/04/2019 14:19:01,31.253°C
29/04/2019 14:39:01,31.44°C
29/04/2019 14:59:01,28.504°C
29/04/2019 15:19:01,26.691°C
29/04/2019 15:39:01,25.754°C
29/04/2019 15:59:01,26.004°C
29/04/2019 16:19:01,26.191°C
29/04/2019 16:39:01,25.441°C
29/04/2019 16:59:01,24.316°C
29/04/2019 17:19:01,22.566°C
29/04/2019 17:39:01,22.003°C
29/04/2019 17:59:01,21.378°C
29/04/2019 18:19:01,20.94°C
29/04/2019 18:39:01,20.878°C
29/04/2019 18:59:01,20.753°C
29/04/2019 19:19:01,20.753°C
29/04/2019 19:39:01,20.44°C
29/04/2019 19:59:01,20.44°C
29/04/2019 20:19:01,20.69°C
29/04/2019 20:39:01,20.753°C
29/04/2019 20:59:01,20.565°C
29/04/2019 21:19:01,20.377°C
29/04/2019 21:39:01,20.315°C
29/04/2019 21:59:01,20.377°C
29/04/2019 22:19:01,20.44°C
29/04/2019 22:39:01,20.502°C
29/04/2019 22:59:01,20.315°C
29/04/2019 23:19:01,20.19°C
29/04/2019 23:39:01,20.315°C
29/04/2019 23:59:01,20.628°C
30/04/2019 00:19:01,20.127°C
30/04/2019 00:39:01,19.94°C
30/04/2019 00:59:01,19.94°C
30/04/2019 01:19:01,19.94°C
30/04/2019 01:39:01,19.94°C
30/04/2019 01:59:01,20.002°C
30/04/2019 02:19:01,20.065°C
30/04/2019 02:39:01,20.377°C
30/04/2019 02:59:01,20.628°C
30/04/2019 03:19:01,20.565°C
30/04/2019 03:39:01,20.69°C
30/04/2019 03:59:01,20.69°C
30/04/2019 04:19:01,20.628°C
30/04/2019 04:39:01,20.628°C
30/04/2019 04:59:01,20.502°C
30/04/2019 05:19:01,20.628°C
30/04/2019 05:39:01,20.815°C
30/04/2019 05:59:01,20.753°C
30/04/2019 06:19:01,20.878°C
30/04/2019 06:39:01,20.753°C
30/04/2019 06:59:01,20.502°C
30/04/2019 07:19:01,20.065°C
30/04/2019 07:39:01,20.315°C
30/04/2019 07:59:01,20.565°C
30/04/2019 08:19:01,21.128°C
30/04/2019 08:39:01,21.315°C
30/04/2019 08:59:01,21.816°C
30/04/2019 09:19:01,23.879°C
30/04/2019 09:39:01,27.879°C
30/04/2019 09:59:01,27.504°C
30/04/2019 10:19:01,27.379°C
30/04/2019 10:39:01,26.254°C
30/04/2019 10:59:01,27.691°C
30/04/2019 11:19:01,29.441°C
30/04/2019 11:39:01,29.253°C
30/04/2019 11:59:01,27.879°C
30/04/2019 12:19:01,25.879°C
30/04/2019 12:39:01,28.066°C
30/04/2019 12:59:01,28.816°C
30/04/2019 13:19:01,29.003°C
30/04/2019 13:39:01,32.377°C
30/04/2019 13:59:01,33.064°C
30/04/2019 14:19:01,32.627°C
30/04/2019 14:39:01,29.753°C
30/04/2019 14:59:01,27.754°C
30/04/2019 15:19:01,30.003°C
30/04/2019 15:39:01,29.191°C
30/04/2019 15:59:01,28.191°C
30/04/2019 16:19:01,26.754°C
30/04/2019 16:39:01,25.316°C
30/04/2019 16:59:01,24.316°C
30/04/2019 17:19:01,23.879°C
30/04/2019 17:39:01,23.003°C
30/04/2019 17:59:01,22.253°C
30/04/2019 18:19:01,22.066°C
30/04/2019 18:39:01,21.691°C
30/04/2019 18:59:01,21.253°C
30/04/2019 19:19:01,20.628°C
30/04/2019 19:39:01,20.252°C
30/04/2019 19:59:01,20.19°C
30/04/2019 20:19:01,20.44°C
30/04/2019 20:39:01,20.502°C
30/04/2019 20:59:01,20.815°C
30/04/2019 21:19:01,21.065°C
30/04/2019 21:39:01,20.315°C
30/04/2019 21:59:01,19.877°C
30/04/2019 22:19:01,20.252°C
30/04/2019 22:39:01,20.44°C
30/04/2019 22:59:01,20.19°C
30/04/2019 23:19:01,20.19°C
30/04/2019 23:39:01,20.002°C
30/04/2019 23:59:01,19.94°C
01/05/2019 00:19:01,19.94°C
01/05/2019 00:39:01,19.94°C
01/05/2019 00:59:01,20.002°C
01/05/2019 01:19:01,20.127°C
01/05/2019 01:39:01,20.19°C
01/05/2019 01:59:01,20.252°C
01/05/2019 02:19:01,20.19°C
01/05/2019 02:39:01,20.44°C
01/05/2019 02:59:01,20.502°C
01/05/2019 03:19:01,20.502°C
01/05/2019 03:39:01,20.628°C
01/05/2019 03:59:01,20.502°C
01/05/2019 04:19:01,20.502°C
01/05/2019 04:39:01,20.628°C
01/05/2019 04:59:01,20.69°C
01/05/2019 05:19:01,20.565°C
01/05/2019 05:39:01,20.565°C
01/05/2019 05:59:01,20.377°C
01/05/2019 06:19:01,20.315°C
01/05/2019 06:39:01,20.19°C
01/05/2019 06:59:01,20.19°C
01/05/2019 07:19:01,20.315°C
01/05/2019 07:39:01,20.565°C
01/05/2019 07:59:01,20.878°C
01/05/2019 08:19:01,22.066°C
01/05/2019 08:39:01,25.066°C
01/05/2019 08:59:01,27.066°C
01/05/2019 09:19:01,28.878°C
01/05/2019 09:39:01,30.315°C
01/05/2019 09:59:01,29.503°C
01/05/2019 10:19:01,29.878°C
01/05/2019 10:39:01,29.003°C
01/05/2019 10:59:01,28.504°C
01/05/2019 11:19:01,28.941°C
01/05/2019 11:39:01,30.253°C
01/05/2019 11:59:01,29.191°C
01/05/2019 12:19:01,29.191°C
01/05/2019 12:39:01,29.253°C
01/05/2019 12:59:01,29.128°C
01/05/2019 13:19:01,30.253°C
01/05/2019 13:39:01,31.565°C
01/05/2019 13:59:01,32.814°C
01/05/2019 14:19:01,34.875°C
01/05/2019 14:39:01,33.813°C
01/05/2019 14:59:01,33.314°C
01/05/2019 15:19:01,31.44°C
01/05/2019 15:39:01,29.003°C
01/05/2019 15:59:01,28.504°C
01/05/2019 16:19:01,26.941°C
01/05/2019 16:39:01,25.691°C
01/05/2019 16:59:01,24.629°C
01/05/2019 17:19:01,23.254°C
01/05/2019 17:39:01,22.378°C
01/05/2019 17:59:01,22.191°C
01/05/2019 18:19:01,22.003°C
01/05/2019 18:39:01,21.503°C
01/05/2019 18:59:01,21.253°C
01/05/2019 19:19:01,21.315°C
01/05/2019 19:39:01,21.44°C
01/05/2019 19:59:01,21.44°C
01/05/2019 20:19:01,21.628°C
01/05/2019 20:39:01,21.878°C
01/05/2019 20:59:01,21.816°C
01/05/2019 21:19:01,21.628°C
01/05/2019 21:39:01,21.128°C
01/05/2019 21:59:01,21.003°C
01/05/2019 22:19:01,21.065°C
01/05/2019 22:39:01,21.065°C
01/05/2019 22:59:01,21.003°C
01/05/2019 23:19:01,20.878°C
01/05/2019 23:39:01,20.878°C
01/05/2019 23:59:01,20.878°C
02/05/2019 00:19:01,20.753°C
02/05/2019 00:39:01,20.815°C
02/05/2019 00:59:01,20.815°C
02/05/2019 01:19:01,20.878°C
02/05/2019 01:39:01,20.815°C
02/05/2019 01:59:01,20.753°C
02/05/2019 02:19:01,20.815°C
02/05/2019 02:39:01,20.753°C
02/05/2019 02:59:01,20.815°C
02/05/2019 03:19:01,20.753°C
02/05/2019 03:39:01,20.628°C
02/05/2019 03:59:01,20.753°C
02/05/2019 04:19:01,20.815°C
02/05/2019 04:39:01,20.753°C
02/05/2019 04:59:01,20.565°C
02/05/2019 05:19:01,20.565°C
02/05/2019 05:39:01,20.315°C
02/05/2019 05:59:01,20.065°C
02/05/2019 06:19:01,20.127°C
02/05/2019 06:39:01,20.065°C
02/05/2019 06:59:01,20.127°C
02/05/2019 07:19:01,20.252°C
02/05/2019 07:39:01,20.69°C
02/05/2019 07:59:01,21.19°C
02/05/2019 08:19:01,21.44°C
02/05/2019 08:39:01,24.004°C
02/05/2019 08:59:01,24.754°C
02/05/2019 09:19:01,24.566°C
02/05/2019 09:39:01,25.316°C
02/05/2019 09:59:01,27.004°C
02/05/2019 10:19:01,29.691°C
02/05/2019 10:39:01,28.941°C
02/05/2019 10:59:01,28.191°C
02/05/2019 11:19:01,28.441°C
02/05/2019 11:39:01,28.379°C
02/05/2019 11:59:01,28.441°C
02/05/2019 12:19:01,28.379°C
02/05/2019 12:39:01,28.566°C
02/05/2019 12:59:01,29.378°C
02/05/2019 13:19:01,32.939°C
02/05/2019 13:39:01,36.561°C
02/05/2019 13:59:01,35.812°C
02/05/2019 14:19:01,36.748°C
02/05/2019 14:39:01,37.435°C
02/05/2019 14:59:01,36.249°C
02/05/2019 15:19:01,35.999°C
02/05/2019 15:39:01,34.563°C
02/05/2019 15:59:01,30.191°C
02/05/2019 16:19:01,28.254°C
02/05/2019 16:39:01,27.629°C
02/05/2019 16:59:01,26.254°C
02/05/2019 17:19:01,25.941°C
02/05/2019 17:39:01,24.941°C
02/05/2019 17:59:01,24.504°C
02/05/2019 18:19:01,22.816°C
02/05/2019 18:39:01,21.003°C
02/05/2019 18:59:01,20.127°C
02/05/2019 19:19:01,19.502°C
02/05/2019 19:39:01,19.189°C
02/05/2019 19:59:01,19.252°C
02/05/2019 20:19:01,19.064°C
02/05/2019 20:39:01,19.377°C
02/05/2019 20:59:01,19.69°C
02/05/2019 21:19:01,20.065°C
02/05/2019 21:39:01,20.065°C
02/05/2019 21:59:01,20.002°C
02/05/2019 22:19:01,20.315°C
02/05/2019 22:39:01,20.502°C
02/05/2019 22:59:01,20.315°C
02/05/2019 23:19:01,19.877°C
02/05/2019 23:39:01,20.377°C
02/05/2019 23:59:01,21.003°C
03/05/2019 00:19:01,21.128°C
03/05/2019 00:39:01,21.065°C
03/05/2019 00:59:01,20.878°C
03/05/2019 01:19:01,20.815°C
03/05/2019 01:39:01,20.69°C
03/05/2019 01:59:01,20.44°C
03/05/2019 02:19:01,20.502°C
03/05/2019 02:39:01,20.565°C
03/05/2019 02:59:01,20.565°C
03/05/2019 03:19:01,20.628°C
03/05/2019 03:39:01,20.69°C
03/05/2019 03:59:01,20.878°C
03/05/2019 04:19:01,20.94°C
03/05/2019 04:39:01,20.753°C
03/05/2019 04:59:01,20.377°C
03/05/2019 05:19:01,20.377°C
03/05/2019 05:39:01,20.565°C
03/05/2019 05:59:01,20.69°C
03/05/2019 06:19:01,20.753°C
03/05/2019 06:39:01,20.753°C
03/05/2019 06:59:01,20.753°C
03/05/2019 07:19:01,20.94°C
03/05/2019 07:39:01,21.253°C
03/05/2019 07:59:01,21.565°C
03/05/2019 08:19:01,21.941°C
03/05/2019 08:39:01,22.191°C
03/05/2019 08:59:01,22.441°C
03/05/2019 09:19:01,23.504°C
03/05/2019 09:39:01,24.004°C
03/05/2019 09:59:01,23.816°C
03/05/2019 10:19:01,24.441°C
03/05/2019 10:39:01,24.129°C
03/05/2019 10:59:01,23.254°C
03/05/2019 11:19:01,23.754°C
03/05/2019 11:39:01,24.004°C
03/05/2019 11:59:01,23.441°C
03/05/2019 12:19:01,23.316°C
03/05/2019 12:39:01,24.629°C
03/05/2019 12:59:01,24.504°C
03/05/2019 13:19:01,24.504°C
03/05/2019 13:39:01,27.504°C
03/05/2019 13:59:01,28.254°C
03/05/2019 14:19:01,25.129°C
03/05/2019 14:39:01,25.066°C
03/05/2019 14:59:01,25.254°C
03/05/2019 15:19:01,24.754°C
03/05/2019 15:39:01,26.191°C
03/05/2019 15:59:01,25.629°C
03/05/2019 16:19:01,25.441°C
03/05/2019 16:39:01,24.879°C
03/05/2019 16:59:01,24.816°C
03/05/2019 17:19:01,23.566°C
03/05/2019 17:39:01,23.066°C
03/05/2019 17:59:01,22.878°C
03/05/2019 18:19:01,22.566°C
03/05/2019 18:39:01,22.378°C
03/05/2019 18:59:01,22.191°C
03/05/2019 19:19:01,22.128°C
03/05/2019 19:39:01,22.128°C
03/05/2019 19:59:01,22.128°C
03/05/2019 20:19:01,22.003°C
03/05/2019 20:39:01,22.003°C
03/05/2019 20:59:01,21.816°C
03/05/2019 21:19:01,21.691°C
03/05/2019 21:39:01,21.753°C
03/05/2019 21:59:01,21.753°C
03/05/2019 22:19:01,21.753°C
03/05/2019 22:39:01,21.691°C
03/05/2019 22:59:01,21.378°C
03/05/2019 23:19:01,21.003°C
03/05/2019 23:39:01,20.628°C
03/05/2019 23:59:01,20.628°C
04/05/2019 00:19:01,20.565°C
04/05/2019 00:39:01,20.69°C
04/05/2019 00:59:01,20.628°C
04/05/2019 01:19:01,20.565°C
04/05/2019 01:39:01,20.502°C
04/05/2019 01:59:01,20.252°C
04/05/2019 02:19:01,20.252°C
04/05/2019 02:39:01,20.127°C
04/05/2019 02:59:01,20.065°C
04/05/2019 03:19:01,19.815°C
04/05/2019 03:39:01,20.002°C
04/05/2019 03:59:01,19.94°C
04/05/2019 04:19:01,20.19°C
04/05/2019 04:39:01,20.127°C
04/05/2019 04:59:01,19.69°C
04/05/2019 05:19:01,19.564°C
04/05/2019 05:39:01,19.439°C
04/05/2019 05:59:01,19.439°C
04/05/2019 06:19:01,19.752°C
04/05/2019 06:39:01,19.627°C
04/05/2019 06:59:01,19.564°C
04/05/2019 07:19:01,19.69°C
04/05/2019 07:39:01,20.252°C
04/05/2019 07:59:01,21.44°C
04/05/2019 08:19:01,22.191°C
04/05/2019 08:39:01,24.441°C
04/05/2019 08:59:01,27.566°C
04/05/2019 09:19:01,30.565°C
04/05/2019 09:39:01,31.065°C
04/05/2019 09:59:01,28.691°C
04/05/2019 10:19:01,26.566°C
04/05/2019 10:39:01,25.504°C
04/05/2019 10:59:01,27.441°C
04/05/2019 11:19:01,28.504°C
04/05/2019 11:39:01,29.191°C
04/05/2019 11:59:01,29.191°C
04/05/2019 12:19:01,29.941°C
04/05/2019 12:39:01,30.815°C
04/05/2019 12:59:01,31.253°C
04/05/2019 13:19:01,30.003°C
04/05/2019 13:39:01,28.816°C
04/05/2019 13:59:01,28.504°C
04/05/2019 14:19:01,29.378°C
04/05/2019 14:39:01,30.69°C
04/05/2019 14:59:01,30.628°C
04/05/2019 15:19:01,34.001°C
04/05/2019 15:39:01,31.003°C
04/05/2019 15:59:01,27.754°C
04/05/2019 16:19:01,26.941°C
04/05/2019 16:39:01,26.379°C
04/05/2019 16:59:01,26.629°C
04/05/2019 17:19:01,27.379°C
04/05/2019 17:39:01,26.504°C
04/05/2019 17:59:01,25.066°C
04/05/2019 18:19:01,23.629°C
04/05/2019 18:39:01,22.691°C
04/05/2019 18:59:01,22.003°C
04/05/2019 19:19:01,21.691°C
