Log Values
Reading , Values
24/04/2019 12:19:01,20.828°C
24/04/2019 12:39:01,20.891°C
24/04/2019 12:59:01,21.141°C
24/04/2019 13:19:01,21.517°C
24/04/2019 13:39:01,21.517°C
24/04/2019 13:59:01,21.579°C
24/04/2019 14:19:01,22.017°C
24/04/2019 14:39:01,22.08°C
24/04/2019 14:59:01,22.393°C
24/04/2019 15:19:01,22.268°C
24/04/2019 15:39:01,22.706°C
24/04/2019 15:59:01,22.017°C
24/04/2019 16:19:01,21.579°C
24/04/2019 16:39:01,21.391°C
24/04/2019 16:59:01,21.329°C
24/04/2019 17:19:01,21.079°C
24/04/2019 17:39:01,20.828°C
24/04/2019 17:59:01,20.64°C
24/04/2019 18:19:01,20.39°C
24/04/2019 18:39:01,20.202°C
24/04/2019 18:59:01,20.077°C
24/04/2019 19:19:01,19.952°C
24/04/2019 19:39:01,19.889°C
24/04/2019 19:59:01,19.764°C
24/04/2019 20:19:01,19.639°C
24/04/2019 20:39:01,19.576°C
24/04/2019 20:59:01,19.576°C
24/04/2019 21:19:01,19.451°C
24/04/2019 21:39:01,19.388°C
24/04/2019 21:59:01,19.388°C
24/04/2019 22:19:01,19.451°C
24/04/2019 22:39:01,19.513°C
24/04/2019 22:59:01,19.576°C
24/04/2019 23:19:01,19.576°C
24/04/2019 23:39:01,19.576°C
24/04/2019 23:59:01,19.576°C
25/04/2019 00:19:01,19.576°C
25/04/2019 00:39:01,19.576°C
25/04/2019 00:59:01,19.513°C
25/04/2019 01:19:01,19.513°C
25/04/2019 01:39:01,19.451°C
25/04/2019 01:59:01,19.325°C
25/04/2019 02:19:01,19.325°C
25/04/2019 02:39:01,19.325°C
25/04/2019 02:59:01,19.325°C
25/04/2019 03:19:01,19.263°C
25/04/2019 03:39:01,19.138°C
25/04/2019 03:59:01,19.138°C
25/04/2019 04:19:01,19.138°C
25/04/2019 04:39:01,19.138°C
25/04/2019 04:59:01,19.138°C
25/04/2019 05:19:01,19.138°C
25/04/2019 05:39:01,19.138°C
25/04/2019 05:59:01,19.138°C
25/04/2019 06:19:01,18.95°C
25/04/2019 06:39:01,19.012°C
25/04/2019 06:59:01,19.075°C
25/04/2019 07:19:01,18.95°C
25/04/2019 07:39:01,19.075°C
25/04/2019 07:59:01,19.138°C
25/04/2019 08:19:01,19.138°C
25/04/2019 08:39:01,19.2°C
25/04/2019 08:59:01,19.325°C
25/04/2019 09:19:01,19.388°C
25/04/2019 09:39:01,19.513°C
25/04/2019 09:59:01,19.388°C
25/04/2019 10:19:01,19.764°C
25/04/2019 10:39:01,19.764°C
25/04/2019 10:59:01,19.889°C
25/04/2019 11:19:01,20.139°C
25/04/2019 11:39:01,20.453°C
25/04/2019 11:59:01,20.515°C
25/04/2019 12:19:01,20.265°C
25/04/2019 12:39:01,20.578°C
25/04/2019 12:59:01,20.453°C
25/04/2019 13:19:01,20.578°C
25/04/2019 13:39:01,20.453°C
25/04/2019 13:59:01,20.327°C
25/04/2019 14:19:01,20.139°C
25/04/2019 14:39:01,20.139°C
25/04/2019 14:59:01,20.014°C
25/04/2019 15:19:01,20.202°C
25/04/2019 15:39:01,20.39°C
25/04/2019 15:59:01,20.327°C
25/04/2019 16:19:01,20.139°C
25/04/2019 16:39:01,19.889°C
25/04/2019 16:59:01,19.889°C
25/04/2019 17:19:01,19.889°C
25/04/2019 17:39:01,19.764°C
25/04/2019 17:59:01,19.451°C
25/04/2019 18:19:01,19.2°C
25/04/2019 18:39:01,18.887°C
25/04/2019 18:59:01,18.699°C
25/04/2019 19:19:01,18.699°C
25/04/2019 19:39:01,18.699°C
25/04/2019 19:59:01,18.636°C
25/04/2019 20:19:01,18.699°C
25/04/2019 20:39:01,18.699°C
25/04/2019 20:59:01,18.636°C
25/04/2019 21:19:01,18.699°C
25/04/2019 21:39:01,18.699°C
25/04/2019 21:59:01,18.699°C
25/04/2019 22:19:01,18.762°C
25/04/2019 22:39:01,18.699°C
25/04/2019 22:59:01,18.699°C
25/04/2019 23:19:01,18.762°C
25/04/2019 23:39:01,18.824°C
25/04/2019 23:59:01,18.95°C
26/04/2019 00:19:01,19.012°C
26/04/2019 00:39:01,19.012°C
26/04/2019 00:59:01,19.075°C
26/04/2019 01:19:01,19.012°C
26/04/2019 01:39:01,19.075°C
26/04/2019 01:59:01,19.075°C
26/04/2019 02:19:01,19.138°C
26/04/2019 02:39:01,19.138°C
26/04/2019 02:59:01,19.2°C
26/04/2019 03:19:01,19.2°C
26/04/2019 03:39:01,19.138°C
26/04/2019 03:59:01,19.138°C
26/04/2019 04:19:01,19.138°C
26/04/2019 04:39:01,19.138°C
26/04/2019 04:59:01,19.075°C
26/04/2019 05:19:01,19.075°C
26/04/2019 05:39:01,19.075°C
26/04/2019 05:59:01,19.138°C
26/04/2019 06:19:01,19.012°C
26/04/2019 06:39:01,18.699°C
26/04/2019 06:59:01,18.824°C
26/04/2019 07:19:01,18.887°C
26/04/2019 07:39:01,19.012°C
26/04/2019 07:59:01,19.075°C
26/04/2019 08:19:01,19.075°C
26/04/2019 08:39:01,19.138°C
26/04/2019 08:59:01,19.2°C
26/04/2019 09:19:01,19.263°C
26/04/2019 09:39:01,19.325°C
26/04/2019 09:59:01,19.513°C
26/04/2019 10:19:01,19.639°C
26/04/2019 10:39:01,19.701°C
26/04/2019 10:59:01,19.826°C
26/04/2019 11:19:01,19.889°C
26/04/2019 11:39:01,19.889°C
26/04/2019 11:59:01,20.139°C
26/04/2019 12:19:01,20.515°C
26/04/2019 12:39:01,20.39°C
26/04/2019 12:59:01,20.327°C
26/04/2019 13:19:01,20.453°C
26/04/2019 13:39:01,20.578°C
26/04/2019 13:59:01,20.515°C
26/04/2019 14:19:01,21.016°C
26/04/2019 14:39:01,21.204°C
26/04/2019 14:59:01,21.391°C
26/04/2019 15:19:01,21.454°C
26/04/2019 15:39:01,21.579°C
26/04/2019 15:59:01,21.266°C
26/04/2019 16:19:01,21.204°C
26/04/2019 16:39:01,20.828°C
26/04/2019 16:59:01,20.327°C
26/04/2019 17:19:01,20.202°C
26/04/2019 17:39:01,20.014°C
26/04/2019 17:59:01,19.639°C
26/04/2019 18:19:01,19.325°C
26/04/2019 18:39:01,19.075°C
26/04/2019 18:59:01,18.887°C
26/04/2019 19:19:01,18.824°C
26/04/2019 19:39:01,18.887°C
26/04/2019 19:59:01,18.95°C
26/04/2019 20:19:01,18.95°C
26/04/2019 20:39:01,19.012°C
26/04/2019 20:59:01,18.95°C
26/04/2019 21:19:01,18.887°C
26/04/2019 21:39:01,18.762°C
26/04/2019 21:59:01,18.824°C
26/04/2019 22:19:01,18.762°C
26/04/2019 22:39:01,18.762°C
26/04/2019 22:59:01,18.762°C
26/04/2019 23:19:01,18.762°C
26/04/2019 23:39:01,18.762°C
26/04/2019 23:59:01,18.824°C
27/04/2019 00:19:01,18.824°C
27/04/2019 00:39:01,18.824°C
27/04/2019 00:59:01,18.762°C
27/04/2019 01:19:01,18.699°C
27/04/2019 01:39:01,18.636°C
27/04/2019 01:59:01,18.636°C
27/04/2019 02:19:01,18.699°C
27/04/2019 02:39:01,18.762°C
27/04/2019 02:59:01,18.762°C
27/04/2019 03:19:01,18.699°C
27/04/2019 03:39:01,18.574°C
27/04/2019 03:59:01,18.511°C
27/04/2019 04:19:01,18.386°C
27/04/2019 04:39:01,18.198°C
27/04/2019 04:59:01,18.261°C
27/04/2019 05:19:01,18.386°C
27/04/2019 05:39:01,18.386°C
27/04/2019 05:59:01,18.386°C
27/04/2019 06:19:01,18.323°C
27/04/2019 06:39:01,18.261°C
27/04/2019 06:59:01,18.323°C
27/04/2019 07:19:01,18.449°C
27/04/2019 07:39:01,18.449°C
27/04/2019 07:59:01,18.574°C
27/04/2019 08:19:01,18.636°C
27/04/2019 08:39:01,18.824°C
27/04/2019 08:59:01,19.012°C
27/04/2019 09:19:01,19.2°C
27/04/2019 09:39:01,19.325°C
27/04/2019 09:59:01,19.576°C
27/04/2019 10:19:01,19.952°C
27/04/2019 10:39:01,20.265°C
27/04/2019 10:59:01,20.578°C
27/04/2019 11:19:01,20.39°C
27/04/2019 11:39:01,21.329°C
27/04/2019 11:59:01,22.017°C
27/04/2019 12:19:01,22.08°C
27/04/2019 12:39:01,21.892°C
27/04/2019 12:59:01,21.955°C
27/04/2019 13:19:01,21.955°C
27/04/2019 13:39:01,21.955°C
27/04/2019 13:59:01,22.08°C
27/04/2019 14:19:01,22.08°C
27/04/2019 14:39:01,22.017°C
27/04/2019 14:59:01,21.767°C
27/04/2019 15:19:01,21.767°C
27/04/2019 15:39:01,21.579°C
27/04/2019 15:59:01,21.204°C
27/04/2019 16:19:01,20.891°C
27/04/2019 16:39:01,20.453°C
27/04/2019 16:59:01,20.265°C
27/04/2019 17:19:01,20.139°C
27/04/2019 17:39:01,20.077°C
27/04/2019 17:59:01,19.889°C
27/04/2019 18:19:01,19.764°C
27/04/2019 18:39:01,19.701°C
27/04/2019 18:59:01,19.513°C
27/04/2019 19:19:01,19.388°C
27/04/2019 19:39:01,19.263°C
27/04/2019 19:59:01,19.075°C
27/04/2019 20:19:01,19.138°C
27/04/2019 20:39:01,19.012°C
27/04/2019 20:59:01,18.95°C
27/04/2019 21:19:01,18.824°C
27/04/2019 21:39:01,18.699°C
27/04/2019 21:59:01,18.449°C
27/04/2019 22:19:01,18.261°C
27/04/2019 22:39:01,18.261°C
27/04/2019 22:59:01,18.261°C
27/04/2019 23:19:01,18.073°C
27/04/2019 23:39:01,18.073°C
27/04/2019 23:59:01,18.073°C
28/04/2019 00:19:01,18.073°C
28/04/2019 00:39:01,18.01°C
28/04/2019 00:59:01,17.885°C
28/04/2019 01:19:01,17.822°C
28/04/2019 01:39:01,17.822°C
28/04/2019 01:59:01,17.822°C
28/04/2019 02:19:01,17.947°C
28/04/2019 02:39:01,18.073°C
28/04/2019 02:59:01,18.198°C
28/04/2019 03:19:01,18.261°C
28/04/2019 03:39:01,18.323°C
28/04/2019 03:59:01,18.386°C
28/04/2019 04:19:01,18.386°C
28/04/2019 04:39:01,18.449°C
28/04/2019 04:59:01,18.511°C
28/04/2019 05:19:01,18.449°C
28/04/2019 05:39:01,18.323°C
28/04/2019 05:59:01,18.135°C
28/04/2019 06:19:01,18.198°C
28/04/2019 06:39:01,18.323°C
28/04/2019 06:59:01,18.386°C
28/04/2019 07:19:01,18.511°C
28/04/2019 07:39:01,18.511°C
28/04/2019 07:59:01,18.574°C
28/04/2019 08:19:01,18.699°C
28/04/2019 08:39:01,18.762°C
28/04/2019 08:59:01,18.824°C
28/04/2019 09:19:01,18.887°C
28/04/2019 09:39:01,19.075°C
28/04/2019 09:59:01,19.138°C
28/04/2019 10:19:01,19.325°C
28/04/2019 10:39:01,19.388°C
28/04/2019 10:59:01,19.325°C
28/04/2019 11:19:01,19.2°C
28/04/2019 11:39:01,19.075°C
28/04/2019 11:59:01,19.012°C
28/04/2019 12:19:01,19.138°C
28/04/2019 12:39:01,19.138°C
28/04/2019 12:59:01,19.2°C
28/04/2019 13:19:01,19.2°C
28/04/2019 13:39:01,19.012°C
28/04/2019 13:59:01,18.887°C
28/04/2019 14:19:01,18.887°C
28/04/2019 14:39:01,18.887°C
28/04/2019 14:59:01,18.95°C
28/04/2019 15:19:01,19.138°C
28/04/2019 15:39:01,18.636°C
28/04/2019 15:59:01,18.135°C
28/04/2019 16:19:01,18.198°C
28/04/2019 16:39:01,18.198°C
28/04/2019 16:59:01,18.323°C
28/04/2019 17:19:01,18.261°C
28/04/2019 17:39:01,18.386°C
28/04/2019 17:59:01,18.386°C
28/04/2019 18:19:01,18.323°C
28/04/2019 18:39:01,18.261°C
28/04/2019 18:59:01,18.261°C
28/04/2019 19:19:01,18.261°C
28/04/2019 19:39:01,18.261°C
28/04/2019 19:59:01,18.135°C
28/04/2019 20:19:01,18.073°C
28/04/2019 20:39:01,18.01°C
28/04/2019 20:59:01,18.01°C
28/04/2019 21:19:01,17.947°C
28/04/2019 21:39:01,17.885°C
28/04/2019 21:59:01,17.822°C
28/04/2019 22:19:01,17.822°C
28/04/2019 22:39:01,17.947°C
28/04/2019 22:59:01,17.947°C
28/04/2019 23:19:01,17.947°C
28/04/2019 23:39:01,17.947°C
28/04/2019 23:59:01,18.01°C
29/04/2019 00:19:01,18.01°C
29/04/2019 00:39:01,18.01°C
29/04/2019 00:59:01,18.073°C
29/04/2019 01:19:01,18.073°C
29/04/2019 01:39:01,18.073°C
29/04/2019 01:59:01,18.073°C
29/04/2019 02:19:01,18.01°C
29/04/2019 02:39:01,17.947°C
29/04/2019 02:59:01,17.571°C
29/04/2019 03:19:01,17.634°C
29/04/2019 03:39:01,17.509°C
29/04/2019 03:59:01,17.571°C
29/04/2019 04:19:01,17.634°C
29/04/2019 04:39:01,17.571°C
29/04/2019 04:59:01,17.509°C
29/04/2019 05:19:01,17.321°C
29/04/2019 05:39:01,17.258°C
29/04/2019 05:59:01,17.195°C
29/04/2019 06:19:01,17.07°C
29/04/2019 06:39:01,17.07°C
29/04/2019 06:59:01,17.07°C
29/04/2019 07:19:01,17.133°C
29/04/2019 07:39:01,16.945°C
29/04/2019 07:59:01,16.945°C
29/04/2019 08:19:01,17.07°C
29/04/2019 08:39:01,17.258°C
29/04/2019 08:59:01,17.383°C
29/04/2019 09:19:01,17.509°C
29/04/2019 09:39:01,17.571°C
29/04/2019 09:59:01,17.571°C
29/04/2019 10:19:01,17.634°C
29/04/2019 10:39:01,17.759°C
29/04/2019 10:59:01,17.822°C
29/04/2019 11:19:01,17.885°C
29/04/2019 11:39:01,18.01°C
29/04/2019 11:59:01,18.01°C
29/04/2019 12:19:01,17.822°C
29/04/2019 12:39:01,18.01°C
29/04/2019 12:59:01,18.198°C
29/04/2019 13:19:01,17.759°C
29/04/2019 13:39:01,17.759°C
29/04/2019 13:59:01,18.511°C
29/04/2019 14:19:01,18.323°C
29/04/2019 14:39:01,18.699°C
29/04/2019 14:59:01,18.449°C
29/04/2019 15:19:01,18.073°C
29/04/2019 15:39:01,18.073°C
29/04/2019 15:59:01,18.01°C
29/04/2019 16:19:01,18.01°C
29/04/2019 16:39:01,18.135°C
29/04/2019 16:59:01,18.073°C
29/04/2019 17:19:01,17.947°C
29/04/2019 17:39:01,17.822°C
29/04/2019 17:59:01,17.822°C
29/04/2019 18:19:01,17.885°C
29/04/2019 18:39:01,17.822°C
29/04/2019 18:59:01,17.697°C
29/04/2019 19:19:01,17.634°C
29/04/2019 19:39:01,17.759°C
29/04/2019 19:59:01,17.822°C
29/04/2019 20:19:01,17.822°C
29/04/2019 20:39:01,17.759°C
29/04/2019 20:59:01,17.822°C
29/04/2019 21:19:01,17.822°C
29/04/2019 21:39:01,17.822°C
29/04/2019 21:59:01,17.885°C
29/04/2019 22:19:01,17.885°C
29/04/2019 22:39:01,17.885°C
29/04/2019 22:59:01,17.759°C
29/04/2019 23:19:01,17.822°C
29/04/2019 23:39:01,17.885°C
29/04/2019 23:59:01,17.634°C
30/04/2019 00:19:01,17.634°C
30/04/2019 00:39:01,17.571°C
30/04/2019 00:59:01,17.634°C
30/04/2019 01:19:01,17.634°C
30/04/2019 01:39:01,17.634°C
30/04/2019 01:59:01,17.571°C
30/04/2019 02:19:01,17.446°C
30/04/2019 02:39:01,17.321°C
30/04/2019 02:59:01,17.258°C
30/04/2019 03:19:01,17.195°C
30/04/2019 03:39:01,17.195°C
30/04/2019 03:59:01,17.195°C
30/04/2019 04:19:01,17.258°C
30/04/2019 04:39:01,17.321°C
30/04/2019 04:59:01,17.446°C
30/04/2019 05:19:01,17.446°C
30/04/2019 05:39:01,17.446°C
30/04/2019 05:59:01,17.446°C
30/04/2019 06:19:01,17.446°C
30/04/2019 06:39:01,17.383°C
30/04/2019 06:59:01,17.446°C
30/04/2019 07:19:01,17.446°C
30/04/2019 07:39:01,17.571°C
30/04/2019 07:59:01,17.571°C
30/04/2019 08:19:01,17.634°C
30/04/2019 08:39:01,17.634°C
30/04/2019 08:59:01,17.509°C
30/04/2019 09:19:01,17.509°C
30/04/2019 09:39:01,17.634°C
30/04/2019 09:59:01,17.759°C
30/04/2019 10:19:01,17.634°C
30/04/2019 10:39:01,17.759°C
30/04/2019 10:59:01,18.135°C
30/04/2019 11:19:01,18.261°C
30/04/2019 11:39:01,18.323°C
30/04/2019 11:59:01,18.261°C
30/04/2019 12:19:01,18.198°C
30/04/2019 12:39:01,18.511°C
30/04/2019 12:59:01,18.323°C
30/04/2019 13:19:01,18.699°C
30/04/2019 13:39:01,18.95°C
30/04/2019 13:59:01,18.824°C
30/04/2019 14:19:01,18.511°C
30/04/2019 14:39:01,18.323°C
30/04/2019 14:59:01,18.449°C
30/04/2019 15:19:01,18.511°C
30/04/2019 15:39:01,18.449°C
30/04/2019 15:59:01,18.636°C
30/04/2019 16:19:01,18.636°C
30/04/2019 16:39:01,18.449°C
30/04/2019 16:59:01,18.323°C
30/04/2019 17:19:01,18.073°C
30/04/2019 17:39:01,18.01°C
30/04/2019 17:59:01,17.947°C
30/04/2019 18:19:01,17.947°C
30/04/2019 18:39:01,17.947°C
30/04/2019 18:59:01,17.885°C
30/04/2019 19:19:01,17.759°C
30/04/2019 19:39:01,17.634°C
30/04/2019 19:59:01,17.446°C
30/04/2019 20:19:01,17.509°C
30/04/2019 20:39:01,17.571°C
30/04/2019 20:59:01,17.697°C
30/04/2019 21:19:01,17.697°C
30/04/2019 21:39:01,17.133°C
30/04/2019 21:59:01,17.446°C
30/04/2019 22:19:01,17.697°C
30/04/2019 22:39:01,17.759°C
30/04/2019 22:59:01,17.759°C
30/04/2019 23:19:01,17.697°C
30/04/2019 23:39:01,17.822°C
30/04/2019 23:59:01,17.822°C
01/05/2019 00:19:01,17.759°C
01/05/2019 00:39:01,17.822°C
01/05/2019 00:59:01,17.759°C
01/05/2019 01:19:01,17.759°C
01/05/2019 01:39:01,17.697°C
01/05/2019 01:59:01,17.759°C
01/05/2019 02:19:01,17.697°C
01/05/2019 02:39:01,17.634°C
01/05/2019 02:59:01,17.697°C
01/05/2019 03:19:01,17.822°C
01/05/2019 03:39:01,17.759°C
01/05/2019 03:59:01,17.822°C
01/05/2019 04:19:01,17.885°C
01/05/2019 04:39:01,17.947°C
01/05/2019 04:59:01,18.01°C
01/05/2019 05:19:01,18.073°C
01/05/2019 05:39:01,18.01°C
01/05/2019 05:59:01,17.947°C
01/05/2019 06:19:01,17.947°C
01/05/2019 06:39:01,18.01°C
01/05/2019 06:59:01,17.947°C
01/05/2019 07:19:01,17.947°C
01/05/2019 07:39:01,18.073°C
01/05/2019 07:59:01,18.073°C
01/05/2019 08:19:01,18.073°C
01/05/2019 08:39:01,18.073°C
01/05/2019 08:59:01,18.073°C
01/05/2019 09:19:01,18.135°C
01/05/2019 09:39:01,18.198°C
01/05/2019 09:59:01,18.261°C
01/05/2019 10:19:01,18.135°C
01/05/2019 10:39:01,18.386°C
01/05/2019 10:59:01,18.636°C
01/05/2019 11:19:01,19.012°C
01/05/2019 11:39:01,18.887°C
01/05/2019 11:59:01,18.762°C
01/05/2019 12:19:01,19.075°C
01/05/2019 12:39:01,18.887°C
01/05/2019 12:59:01,18.887°C
01/05/2019 13:19:01,18.887°C
01/05/2019 13:39:01,18.887°C
01/05/2019 13:59:01,18.762°C
01/05/2019 14:19:01,19.075°C
01/05/2019 14:39:01,19.012°C
01/05/2019 14:59:01,18.95°C
01/05/2019 15:19:01,18.95°C
01/05/2019 15:39:01,18.824°C
01/05/2019 15:59:01,18.887°C
01/05/2019 16:19:01,18.95°C
01/05/2019 16:39:01,18.887°C
01/05/2019 16:59:01,18.636°C
01/05/2019 17:19:01,18.386°C
01/05/2019 17:39:01,18.386°C
01/05/2019 17:59:01,18.261°C
01/05/2019 18:19:01,18.261°C
01/05/2019 18:39:01,18.386°C
01/05/2019 18:59:01,18.198°C
01/05/2019 19:19:01,18.198°C
01/05/2019 19:39:01,18.261°C
01/05/2019 19:59:01,18.135°C
01/05/2019 20:19:01,18.073°C
01/05/2019 20:39:01,18.01°C
01/05/2019 20:59:01,17.885°C
01/05/2019 21:19:01,17.885°C
01/05/2019 21:39:01,17.822°C
01/05/2019 21:59:01,17.822°C
01/05/2019 22:19:01,17.885°C
01/05/2019 22:39:01,17.885°C
01/05/2019 22:59:01,17.885°C
01/05/2019 23:19:01,17.947°C
01/05/2019 23:39:01,18.01°C
01/05/2019 23:59:01,18.073°C
02/05/2019 00:19:01,18.073°C
02/05/2019 00:39:01,18.135°C
02/05/2019 00:59:01,18.261°C
02/05/2019 01:19:01,18.261°C
02/05/2019 01:39:01,18.323°C
02/05/2019 01:59:01,18.323°C
02/05/2019 02:19:01,18.386°C
02/05/2019 02:39:01,18.198°C
02/05/2019 02:59:01,18.198°C
02/05/2019 03:19:01,18.01°C
02/05/2019 03:39:01,17.947°C
02/05/2019 03:59:01,17.947°C
02/05/2019 04:19:01,18.073°C
02/05/2019 04:39:01,18.073°C
02/05/2019 04:59:01,18.073°C
02/05/2019 05:19:01,18.01°C
02/05/2019 05:39:01,17.885°C
02/05/2019 05:59:01,17.822°C
02/05/2019 06:19:01,17.822°C
02/05/2019 06:39:01,17.697°C
02/05/2019 06:59:01,17.697°C
02/05/2019 07:19:01,17.634°C
02/05/2019 07:39:01,17.634°C
02/05/2019 07:59:01,17.634°C
02/05/2019 08:19:01,17.822°C
02/05/2019 08:39:01,17.759°C
02/05/2019 08:59:01,17.947°C
02/05/2019 09:19:01,18.073°C
02/05/2019 09:39:01,18.135°C
02/05/2019 09:59:01,18.198°C
02/05/2019 10:19:01,18.386°C
02/05/2019 10:39:01,18.699°C
02/05/2019 10:59:01,18.636°C
02/05/2019 11:19:01,18.824°C
02/05/2019 11:39:01,19.325°C
02/05/2019 11:59:01,19.075°C
02/05/2019 12:19:01,19.2°C
02/05/2019 12:39:01,19.2°C
02/05/2019 12:59:01,19.2°C
02/05/2019 13:19:01,19.325°C
02/05/2019 13:39:01,19.263°C
02/05/2019 13:59:01,19.325°C
02/05/2019 14:19:01,19.138°C
02/05/2019 14:39:01,18.95°C
02/05/2019 14:59:01,19.012°C
02/05/2019 15:19:01,18.887°C
02/05/2019 15:39:01,18.762°C
02/05/2019 15:59:01,18.511°C
02/05/2019 16:19:01,18.511°C
02/05/2019 16:39:01,18.449°C
02/05/2019 16:59:01,18.386°C
02/05/2019 17:19:01,18.135°C
02/05/2019 17:39:01,17.947°C
02/05/2019 17:59:01,17.697°C
02/05/2019 18:19:01,17.195°C
02/05/2019 18:39:01,17.007°C
02/05/2019 18:59:01,17.007°C
02/05/2019 19:19:01,16.945°C
02/05/2019 19:39:01,16.945°C
02/05/2019 19:59:01,16.945°C
02/05/2019 20:19:01,16.882°C
02/05/2019 20:39:01,16.945°C
02/05/2019 20:59:01,17.007°C
02/05/2019 21:19:01,17.195°C
02/05/2019 21:39:01,17.258°C
02/05/2019 21:59:01,17.383°C
02/05/2019 22:19:01,17.509°C
02/05/2019 22:39:01,17.571°C
02/05/2019 22:59:01,17.571°C
02/05/2019 23:19:01,17.634°C
02/05/2019 23:39:01,17.759°C
02/05/2019 23:59:01,17.759°C
03/05/2019 00:19:01,17.634°C
03/05/2019 00:39:01,17.446°C
03/05/2019 00:59:01,17.258°C
03/05/2019 01:19:01,17.258°C
03/05/2019 01:39:01,17.133°C
03/05/2019 01:59:01,17.258°C
03/05/2019 02:19:01,17.446°C
03/05/2019 02:39:01,17.634°C
03/05/2019 02:59:01,17.759°C
03/05/2019 03:19:01,17.759°C
03/05/2019 03:39:01,17.885°C
03/05/2019 03:59:01,17.885°C
03/05/2019 04:19:01,17.822°C
03/05/2019 04:39:01,17.759°C
03/05/2019 04:59:01,17.759°C
03/05/2019 05:19:01,17.822°C
03/05/2019 05:39:01,17.697°C
03/05/2019 05:59:01,17.759°C
03/05/2019 06:19:01,17.947°C
03/05/2019 06:39:01,18.073°C
03/05/2019 06:59:01,18.198°C
03/05/2019 07:19:01,18.323°C
03/05/2019 07:39:01,18.449°C
03/05/2019 07:59:01,18.574°C
03/05/2019 08:19:01,18.574°C
03/05/2019 08:39:01,18.323°C
03/05/2019 08:59:01,18.386°C
03/05/2019 09:19:01,18.511°C
03/05/2019 09:39:01,18.699°C
03/05/2019 09:59:01,18.762°C
03/05/2019 10:19:01,18.824°C
03/05/2019 10:39:01,19.012°C
03/05/2019 10:59:01,18.511°C
03/05/2019 11:19:01,18.824°C
03/05/2019 11:39:01,18.887°C
03/05/2019 11:59:01,18.824°C
03/05/2019 12:19:01,18.762°C
03/05/2019 12:39:01,18.824°C
03/05/2019 12:59:01,18.887°C
03/05/2019 13:19:01,18.887°C
03/05/2019 13:39:01,18.887°C
03/05/2019 13:59:01,18.95°C
03/05/2019 14:19:01,19.012°C
03/05/2019 14:39:01,18.824°C
03/05/2019 14:59:01,18.824°C
03/05/2019 15:19:01,18.824°C
03/05/2019 15:39:01,18.824°C
03/05/2019 15:59:01,18.762°C
03/05/2019 16:19:01,18.699°C
03/05/2019 16:39:01,18.699°C
03/05/2019 16:59:01,18.636°C
03/05/2019 17:19:01,18.574°C
03/05/2019 17:39:01,18.699°C
03/05/2019 17:59:01,18.636°C
03/05/2019 18:19:01,18.511°C
03/05/2019 18:39:01,18.323°C
03/05/2019 18:59:01,18.323°C
03/05/2019 19:19:01,18.261°C
03/05/2019 19:39:01,18.135°C
03/05/2019 19:59:01,18.01°C
03/05/2019 20:19:01,18.01°C
03/05/2019 20:39:01,17.885°C
03/05/2019 20:59:01,17.759°C
03/05/2019 21:19:01,17.759°C
03/05/2019 21:39:01,17.759°C
03/05/2019 21:59:01,17.822°C
03/05/2019 22:19:01,17.885°C
03/05/2019 22:39:01,17.885°C
03/05/2019 22:59:01,17.822°C
03/05/2019 23:19:01,17.822°C
03/05/2019 23:39:01,17.822°C
03/05/2019 23:59:01,17.822°C
04/05/2019 00:19:01,17.697°C
04/05/2019 00:39:01,17.634°C
04/05/2019 00:59:01,17.571°C
04/05/2019 01:19:01,17.571°C
04/05/2019 01:39:01,17.509°C
04/05/2019 01:59:01,17.446°C
04/05/2019 02:19:01,17.509°C
04/05/2019 02:39:01,17.509°C
04/05/2019 02:59:01,17.571°C
04/05/2019 03:19:01,17.571°C
04/05/2019 03:39:01,17.697°C
04/05/2019 03:59:01,17.634°C
04/05/2019 04:19:01,17.697°C
04/05/2019 04:39:01,17.697°C
04/05/2019 04:59:01,17.634°C
04/05/2019 05:19:01,17.697°C
04/05/2019 05:39:01,17.634°C
04/05/2019 05:59:01,17.571°C
04/05/2019 06:19:01,17.571°C
04/05/2019 06:39:01,17.509°C
04/05/2019 06:59:01,17.509°C
04/05/2019 07:19:01,17.446°C
04/05/2019 07:39:01,17.509°C
04/05/2019 07:59:01,17.634°C
04/05/2019 08:19:01,17.697°C
04/05/2019 08:39:01,17.697°C
04/05/2019 08:59:01,17.759°C
04/05/2019 09:19:01,17.885°C
04/05/2019 09:39:01,18.01°C
04/05/2019 09:59:01,18.198°C
04/05/2019 10:19:01,18.135°C
04/05/2019 10:39:01,18.261°C
04/05/2019 10:59:01,18.574°C
04/05/2019 11:19:01,19.2°C
04/05/2019 11:39:01,20.014°C
04/05/2019 11:59:01,19.513°C
04/05/2019 12:19:01,19.701°C
04/05/2019 12:39:01,19.701°C
04/05/2019 12:59:01,19.889°C
04/05/2019 13:19:01,19.889°C
04/05/2019 13:39:01,19.764°C
04/05/2019 13:59:01,19.639°C
04/05/2019 14:19:01,19.639°C
04/05/2019 14:39:01,19.764°C
04/05/2019 14:59:01,19.826°C
04/05/2019 15:19:01,19.701°C
04/05/2019 15:39:01,19.576°C
04/05/2019 15:59:01,19.513°C
04/05/2019 16:19:01,19.388°C
04/05/2019 16:39:01,19.325°C
04/05/2019 16:59:01,19.263°C
04/05/2019 17:19:01,19.388°C
